97,598,"Некоммерческое 			партнерство ""Международный Координационный Совет Выпускников Учебных 			Заведений (ИНКОРВУЗ-XXI)""","Российская 			Федерация, Азия, Африка, Ближний Восток, Европа, Южная Америка, СНГ",Школа-семинар 			для руководителей национальных ассоциаций иностранных выпускников российских 			вузов по вопросам их деятельности в качестве НПО,1 000 000
98,620,Автономная 			Некоммерческая организация «Центр содействия защите прав человека»,Российская 			Федерация: Северо-Западный ФО; Дальневосточный и Сибирский ФО; Уральский ФО; 			Южный ФО; Центральный ФО; Приволжский ФО,«Реализации 			комплекса актуальных гуманитарных просветительских и образовательных программ 			в области защиты прав человека и противодействия экстремизму»,5 200 000
99,621,Международный 			благотворительный фонд имени Д.С. Лихачева,г. 			Санкт-Петербург,Интернет-портал 			«Энциклопедия благотворительности Санкт-Петербурга: история и современность»,800 000
100,631,Всероссийский 			союз общественных объединений «Движение женщин за здоровье нации»,"Московская, 			Ивановская, Белгородская, Рязанская,  Пермская 			области, Башкортостан, Чувашская Республика, Приморский Край,  Краснодарский Край, Камчатский Край","Просветительско-образовательный 			проект ""Охрана здоровья здорового человека""",1 000 000
101,633,Приморский 			краевой общественный благотворительный фонд культуры,Приморский 			край,"""Уроки 			красоты""",450 000
102,636,Новосибирский 			региональный союз общественных объединений,"Новосибирск, 			Новосибирская область",Формирование 			общественных механизмов противодействия коррупции,1 000 000
103,660,"Ульяновское 			региональное отделение общероссийского общественного благотворительного фонда 			""Российский детский фонд""","Ульяновск, 			Ульяновская область",Семейный 			круг,400 000
104,666,Курская 			областная общественная организация Общества «Знание» России,Центральный 			федеральный округ Российской Федерации,«Формирование 			антикоррупционного общественного мнения граждан Центрального федерального 			округа РФ»,1 900 000
105,673,"Некоммерческий 			фонд содействия развитию информационных технологий гражданского общества 			""Цифровая цивилизация""",Российская 			Федерация: Северо-Западный ФО; Дальневосточный и Сибирский ФО; Уральский ФО; 			Южный ФО; Центральный ФО; Приволжский ФО,"Разработка 			модели обмена знаниями, образовательными, просветительскими ресурсами и 			методиками, обучение специалистов НКО практике взаимодействия с 			использованием современных информационных технологий",1 000 000
106,683,Общероссийская 			общественная организация содействия решению социальных проблем «Новое 			общество»,"Москва, 			Московская область","Исследование 			и мониторинг общественного мнения по проблемам взаимодействия НКО, 			государственных органов власти (или муниципальных) и общества. Выработка 			рекомендаций НКО и органам местного самоуправления",4 500 000
107,684,Некоммерческая 			Организация Фонд Возрождения Народной Культуры,"г. Москва, 			г. Санкт-Петербург","«Социальный 			проект по возрождению культурных основ российского общества в сфере 			литературного, исполнительного и художественного творчества, театральных, 			оперных и прочих сценических выступлений»",4 000 000
108,697,Курская 			областная общественная организация Союза женщин России,"18 			регионов ЦФО РФ, Алтайский край, Вологодская область, Карачаево-Черкесская 			Республика, Приморский край, Самарская область, Свердловская область",«Процветающая 			Россия – будущее твоей семьи»,2 000 000
