552,"Новосибирская 			областная общественная организация ""Институт развития города""",Новосибирская 			область,"""Разработка 			концепции культурной политики мегаполиса на примере Новосибирска""","400 			000,00"
554,"Некоммерческое 			партнерство ""Офис Туризма Великого Новгорода""",Новгородская 			область,"Создание ""Волонтерской 			информационной туристской службы""","300 			000,00"
562,"Воронежское 			региональное отделение Общероссийской общественной организации инвалидов 			""Всероссийское Ордена Трудового Красного  			Знамени общество слепых""",Воронежская 			область,Центр 			психологического консультирования и реабилитации инвалидов по зрению при 			Воронежском  региональном отделении ВОС,"500 000,00"
570,Самарское 			региональное отделение Конфедерации деловых женщин России,Самарская 			область,"Проект областной 			культуры: ""Социальный статус народной песни""","650 000,00"
571,"Ставропольская 			региональная общественная организация ""Экологический Конгресс 			Ставрополья. Академия Экологической безопасности""",Ставропольский 			край,"Образовательный 			центр ""Мыслитель""","300 000,00"
576,"Некоммерческая 			организация ""Благотворительный фонд ""Развитие""",Ставропольский 			край,"""Северный 			Кавказ: нам не жить друг без друга""","500 000,00"
577,Библиотечная 			ассоциация Республики Карелия,Республика 			Карелия,"Летний 			библиотечный лагерь ""Под одним небом""","190 000,00"
581,"Городской 			благотворительный фонд ""Развитие",Алтайский край,Рубцовск - город 			творчества,"200 000,00"
582,Региональный 			общественный Фонд поддержки Героев Советского Союза и Героев Российской 			Федерации имени генерала Е.Н. Кочешкова,г. Москва,Герои отечества 			- растим  патриотов,"500 000,00"
583,"Хабаровское 			краевое отделение Общероссийской общественной организации инвалидов 			""Всероссийское общество глухих""",Хабаровский край,"""Цвета 			радуги в мире тишины"" (Развитие материально-технической базы Дома 			культуры глухих ""Восток"")","200 000,00"
